Austria,Republic of Austria,Austrian,Austrians
Brazil,Federative Republic of Brazil,Brazilian,Brazilians
Cambodia,Kingdom of Cambodia,Cambodian,Cambodians
Canada,Canadian,Canadians
China,People's Republic of China,Chinese
Denmark,Kingdom of Denmark,Danish,Danishes
Finland,Republic of Finland,Finnish
France,French Republic,France
Germany,Federal Republic of Germany,German,Germans
Greece,Hellenic Republic,Greek
